metric,labels,value,A,B,C
administration_events_queue_size_total,Operation=Add,59.00000000,a,b,c
administration_events_queue_size_total,Operation=Remove,59.00000000,a,b,c
cluster_metrics_cpu_capacity,ClusterID=d0526792-67ad-448c-adf6-9a5ca731644e,12.00000000,a,b,c
cluster_metrics_node_count,ClusterID=d0526792-67ad-448c-adf6-9a5ca731644e,3.00000000,a,b,c
datastore_function_duration,Function=AddProcessListeningOnPort Type=ProcessListeningOnPort,6.80612200,a,b,c
datastore_function_duration,Function=Count Type=Alert,1.73323350,a,b,c
datastore_function_duration,Function=Count Type=Image,1.39916378,a,b,c
datastore_function_duration,Function=Delete Type=Pod,7.95169586,a,b,c
datastore_function_duration,Function=DeleteImages Type=Image,14.13913222,a,b,c
datastore_function_duration,Function=MarkAlertsResolvedBatch Type=Alert,5.79703415,a,b,c
datastore_function_duration,Function=RemoveDeployment Type=Deployment,16.74446232,a,b,c
datastore_function_duration,Function=Search Type=Alert,2.51385500,a,b,c
datastore_function_duration,Function=Search Type=Image,1.04549811,a,b,c
datastore_function_duration,Function=Search Type=K8SRoleBinding,0.58206744,a,b,c
datastore_function_duration,Function=Search Type=Node,2.34387271,a,b,c
datastore_function_duration,Function=SearchAlerts Type=Alert,3.17756100,a,b,c
datastore_function_duration,Function=SearchDeployments Type=Deployment,1.86691686,a,b,c
datastore_function_duration,Function=SearchImages Type=Image,4.87773733,a,b,c
datastore_function_duration,Function=SearchListAlerts Type=Alert,1.61202057,a,b,c
datastore_function_duration,Function=SearchListDeployments Type=Deployment,1.26052083,a,b,c
datastore_function_duration,Function=SearchListImages Type=Image,18.91602808,a,b,c
datastore_function_duration,Function=SearchNodes Type=Node,1.87403225,a,b,c
datastore_function_duration,Function=SearchRawAlerts Type=Alert,1.76690982,a,b,c
datastore_function_duration,Function=SearchRawDeployments Type=Deployment,1.62682639,a,b,c
datastore_function_duration,Function=SearchRawPods Type=Pod,2.17698755,a,b,c
datastore_function_duration,Function=Upsert Type=Pod,7.53683677,a,b,c
datastore_function_duration,Function=UpsertAlert Type=Alert,2.55514792,a,b,c
datastore_function_duration,Function=UpsertDeployment Type=Deployment,27.09918682,a,b,c
datastore_function_duration,Function=UpsertImage Type=Image,19.31438800,a,b,c
datastore_function_duration,Function=UpsertNode Type=Node,64.17638718,a,b,c
deduping_hash_size,cluster=d0526792-67ad-448c-adf6-9a5ca731644e,166.00000000,a,b,c
function_segment_duration,Segment=AddBaseline,2.78611382,a,b,c
function_segment_duration,Segment=AddProcessToAggregator,0.01912025,a,b,c
function_segment_duration,Segment=CheckAndUpdateBaseline,0.07883971,a,b,c
function_segment_duration,Segment=FlushingIndicatorQueue,4.68863094,a,b,c
go_goroutines,,704.00000000,a,b,c
go_info,version=go1.21.8,1.00000000,a,b,c
go_memstats_alloc_bytes,,148399176.00000000,a,b,c
go_memstats_alloc_bytes_total,,8542009000.00000000,a,b,c
go_memstats_buck_hash_sys_bytes,,4432154.00000000,a,b,c
go_memstats_frees_total,,132741127.00000000,a,b,c
go_memstats_gc_sys_bytes,,12543360.00000000,a,b,c
go_memstats_heap_alloc_bytes,,148399176.00000000,a,b,c
go_memstats_heap_idle_bytes,,115630080.00000000,a,b,c
go_memstats_heap_inuse_bytes,,198877184.00000000,a,b,c
go_memstats_heap_objects,,1510054.00000000,a,b,c
go_memstats_heap_released_bytes,,87171072.00000000,a,b,c
go_memstats_heap_sys_bytes,,314507264.00000000,a,b,c
go_memstats_last_gc_time_seconds,,1713461995.81718946,a,b,c
go_memstats_lookups_total,,0.00000000,a,b,c
go_memstats_mallocs_total,,134251181.00000000,a,b,c
go_memstats_mcache_inuse_bytes,,4800.00000000,a,b,c
go_memstats_mcache_sys_bytes,,15600.00000000,a,b,c
go_memstats_mspan_inuse_bytes,,2873472.00000000,a,b,c
go_memstats_mspan_sys_bytes,,5002872.00000000,a,b,c
go_memstats_next_gc_bytes,,185018600.00000000,a,b,c
go_memstats_other_sys_bytes,,1981254.00000000,a,b,c
go_memstats_stack_inuse_bytes,,4259840.00000000,a,b,c
go_memstats_stack_sys_bytes,,4259840.00000000,a,b,c
go_memstats_sys_bytes,,342742344.00000000,a,b,c
go_threads,,12.00000000,a,b,c
graphql_op_duration,Operation=ContainerCount Resolver=Pods,0.00829838,a,b,c
graphql_op_duration,Operation=ContainerRestartEvents Resolver=Pods,0.00464478,a,b,c
graphql_op_duration,Operation=ContainerTerminationEvents Resolver=Pods,0.00270933,a,b,c
graphql_op_duration,Operation=Deployment Resolver=Root,0.05643040,a,b,c
graphql_op_duration,Operation=DeploymentCount Resolver=ImageCVEs,1.35168479,a,b,c
graphql_op_duration,Operation=DeploymentCount Resolver=Root,0.96229045,a,b,c
graphql_op_duration,Operation=EnvImpact Resolver=ImageCVEs,1.10926953,a,b,c
graphql_op_duration,Operation=Events Resolver=Pods,2.04793812,a,b,c
graphql_op_duration,Operation=Image Resolver=Root,1.21398133,a,b,c
graphql_op_duration,Operation=ImageComponent Resolver=Root,1.35135520,a,b,c
graphql_op_duration,Operation=ImageComponentCount Resolver=ImageCVEs,2.27673017,a,b,c
graphql_op_duration,Operation=ImageComponentCount Resolver=Root,2.27363227,a,b,c
graphql_op_duration,Operation=ImageCount Resolver=ImageCVEs,1.41284557,a,b,c
graphql_op_duration,Operation=ImageCount Resolver=Root,1.40970186,a,b,c
graphql_op_duration,Operation=ImageVulnerabilities Resolver=ImageComponents,2.98706540,a,b,c
graphql_op_duration,Operation=ImageVulnerabilities Resolver=Images,10.07782740,a,b,c
graphql_op_duration,Operation=ImageVulnerabilities Resolver=Root,10.16692428,a,b,c
graphql_op_duration,Operation=IsFixable Resolver=ImageCVEs,1.51665704,a,b,c
graphql_op_duration,Operation=LastScanned Resolver=ImageCVEs,0.71420338,a,b,c
graphql_op_duration,Operation=Pods Resolver=Root,2.27335020,a,b,c
graphql_op_duration,Operation=PolicyViolationEvents Resolver=Pods,1.13256137,a,b,c
graphql_op_duration,Operation=ProcessActivityEvents Resolver=Pods,0.89989513,a,b,c
graphql_query_duration,"Query=
    query getPodEvents($podsQuery: String) {
        result: pods(query: $podsQuery) {
            id
            name
            containerCount
            events {
                __typename
                id
                name
                timestamp
                ... on ProcessActivityEvent {
                    args
                    uid
                    parentName
                    parentUid
                    inBaseline
                }
            }
        }
    }",4.70107188,a,b,c
grpc_error,Code=Canceled,1.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ClusterHealthInfo_,39.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ClusterMetrics_,6.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ClusterStatusUpdate_,28.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ComplianceOperatorInfo_,71.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_DeploymentEnhancementResponse_,553.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_AlertResults,2455.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Binding,223.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Deployment,546.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_ImageIntegration,2486.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Namespace,218.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_NetworkPolicy,201.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Node,2176.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Pod,178.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_ProcessIndicator,415.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Role,164.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Secret,209.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_ServiceAccount,226.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_Event_Synced,23540.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_NetworkFlowUpdate_,1131.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_NetworkPoliciesResponse_,624.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ProcessListeningOnPortUpdate_,520.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_ScrapeUpdate_,42.00000000,a,b,c
grpc_last_message_size_received_bytes,Type=*central.MsgFromSensor_TelemetryDataResponse_,44.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_BaselineSync,333.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterConfig,10.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterHealthResponse,0.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_DeploymentEnhancementRequest,547.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_InvalidateImageCache,78.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_NetworkPoliciesCommand,79.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_PolicySync,109755.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_PushNetworkEntitiesRequest,4385822.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_ReprocessDeployments,3.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_ScrapeCommand,42.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_SensorUpgradeTrigger,286.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_TelemetryDataRequest,61.00000000,a,b,c
grpc_last_message_size_sent_bytes,Type=*central.MsgToSensor_UpdatedImage,33547.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_BaselineSync,393.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterConfig,16.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterHealthResponse,0.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_DeploymentEnhancementRequest,547.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_InvalidateImageCache,154.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_NetworkPoliciesCommand,87724.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_PolicySync,126564.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_PushNetworkEntitiesRequest,4385822.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_ReprocessDeployments,3.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_ScrapeCommand,284.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_SensorUpgradeTrigger,286.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_TelemetryDataRequest,61.00000000,a,b,c
grpc_max_message_size_sent_bytes,Type=*central.MsgToSensor_UpdatedImage,84368.00000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_BaselineSync,361.66666667,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterConfig,11.31707317,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_ClusterHealthResponse,0.00000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_InvalidateImageCache,71.56521739,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_NetworkPoliciesCommand,14491.00000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_PolicySync,113651.93150685,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_ReprocessDeployments,3.00000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_ScrapeCommand,166.15000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_TelemetryDataRequest,60.50000000,a,b,c
grpc_message_size_sent_bytes,Type=*central.MsgToSensor_UpdatedImage,8749.31227863,a,b,c
grpc_server_handled_total,grpc_code=Aborted grpc_method=ScanImageInternal grpc_service=v1.ImageService grpc_type=unary,2.00000000,a,b,c
grpc_server_handled_total,grpc_code=Canceled grpc_method=Communicate grpc_service=central.SensorService grpc_type=bidi_stream,1.00000000,a,b,c
grpc_server_handled_total,grpc_code=FailedPrecondition grpc_method=DeleteSimpleAccessScope grpc_service=v1.RoleService grpc_type=unary,8.00000000,a,b,c
grpc_server_handled_total,grpc_code=Internal grpc_method=UpgradeCheckInFromSensor grpc_service=central.SensorUpgradeControlService grpc_type=unary,1.00000000,a,b,c
grpc_server_handled_total,grpc_code=InvalidArgument grpc_method=CreateGroup grpc_service=v1.GroupService grpc_type=unary,2.00000000,a,b,c
